year,jornada,date,stadium,teamA,logo_teamA,teamB,logo_teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1930,14,02 Mar 30,Wanda Metropolitano,Atlético,Atlético.jpg,Racing,Racing.jpg,3,1,Atlético,1
1930,14,02 Mar 30,Anoeta,Sociedad,Sociedad.jpg,CE Europa,CE Europa.jpg,2,0,Sociedad,1
1930,14,05 Mar 30,Camp Nou,Barcelona,Barcelona.jpg,Real Unión,Real Unión.jpg,4,2,Barcelona,1
1930,14,05 Mar 30,RCDE Stadium,Espanyol,Espanyol.jpg,Real Madrid,Real Madrid.jpg,8,1,Espanyol,1
1930,15,09 Mar 30,Municipal de Gobela,Arenas,Arenas.jpg,Sociedad,Sociedad.jpg,3,1,Arenas,1
1930,15,09 Mar 30,Wanda Metropolitano,Atlético,Atlético.jpg,Barcelona,Barcelona.jpg,3,2,Atlético,1
1930,15,09 Mar 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Espanyol,Espanyol.jpg,1,2,Espanyol,2
1930,15,09 Mar 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,Real Madrid,Real Madrid.jpg,2,0,Racing,1
1930,15,09 Mar 30,Stadium Gal,Real Unión,Real Unión.jpg,Athletic,Athletic.jpg,1,1,Draw,0
1930,16,16 Mar 30,San Mamés,Athletic,Athletic.jpg,Barcelona,Barcelona.jpg,4,3,Athletic,1
1930,16,16 Mar 30,RCDE Stadium,Espanyol,Espanyol.jpg,Arenas,Arenas.jpg,1,0,Espanyol,1
1930,16,16 Mar 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,Real Unión,Real Unión.jpg,4,2,Racing,1
1930,16,16 Mar 30,Anoeta,Sociedad,Sociedad.jpg,Atlético,Atlético.jpg,2,0,Sociedad,1
1930,16,16 Mar 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,CE Europa,CE Europa.jpg,6,1,Real Madrid,1
1930,17,22 Mar 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Racing,Racing.jpg,5,0,CE Europa,1
1930,17,23 Mar 30,Municipal de Gobela,Arenas,Arenas.jpg,Real Madrid,Real Madrid.jpg,5,1,Arenas,1
1930,17,23 Mar 30,Wanda Metropolitano,Atlético,Atlético.jpg,Athletic,Athletic.jpg,3,4,Athletic,2
1930,17,23 Mar 30,Camp Nou,Barcelona,Barcelona.jpg,Espanyol,Espanyol.jpg,5,4,Barcelona,1
1930,17,23 Mar 30,Stadium Gal,Real Unión,Real Unión.jpg,Sociedad,Sociedad.jpg,3,2,Real Unión,1
1930,18,30 Mar 30,Municipal de Gobela,Arenas,Arenas.jpg,Atlético,Atlético.jpg,2,1,Arenas,1
1930,18,30 Mar 30,RCDE Stadium,Espanyol,Espanyol.jpg,Sociedad,Sociedad.jpg,3,1,Espanyol,1
1930,18,30 Mar 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,Athletic,Athletic.jpg,2,3,Athletic,2
1930,18,30 Mar 30,Stadium Gal,Real Unión,Real Unión.jpg,CE Europa,CE Europa.jpg,3,4,CE Europa,2
1930,18,30 Mar 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Barcelona,Barcelona.jpg,5,1,Real Madrid,1
1931,1,07 Dic 30,Municipal de Gobela,Arenas,Arenas.jpg,Real Unión,Real Unión.jpg,1,2,Real Unión,2
1931,1,07 Dic 30,Camp Nou,Barcelona,Barcelona.jpg,Athletic,Athletic.jpg,6,3,Barcelona,1
1931,1,07 Dic 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,CE Europa,CE Europa.jpg,2,1,Racing,1
1931,1,07 Dic 30,Anoeta,Sociedad,Sociedad.jpg,Alavés,Alavés.jpg,2,2,Draw,0
1931,1,07 Dic 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Espanyol,Espanyol.jpg,2,0,Real Madrid,1
1931,2,14 Dic 30,San Mamés,Athletic,Athletic.jpg,Sociedad,Sociedad.jpg,6,1,Athletic,1
1931,2,14 Dic 30,Mendizorroza,Alavés,Alavés.jpg,Arenas,Arenas.jpg,3,2,Alavés,1
1931,2,14 Dic 30,RCDE Stadium,Espanyol,Espanyol.jpg,Racing,Racing.jpg,4,1,Espanyol,1
1931,2,14 Dic 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Barcelona,Barcelona.jpg,2,2,Draw,0
1931,2,27 Ene 31,Stadium Gal,Real Unión,Real Unión.jpg,Real Madrid,Real Madrid.jpg,1,1,Draw,0
1931,3,21 Dic 30,Municipal de Gobela,Arenas,Arenas.jpg,Real Madrid,Real Madrid.jpg,4,1,Arenas,1
1931,3,21 Dic 30,Mendizorroza,Alavés,Alavés.jpg,Espanyol,Espanyol.jpg,4,1,Alavés,1
1931,3,21 Dic 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Real Unión,Real Unión.jpg,2,1,CE Europa,1
1931,3,21 Dic 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,Athletic,Athletic.jpg,4,1,Racing,1
1931,3,21 Dic 30,Anoeta,Sociedad,Sociedad.jpg,Barcelona,Barcelona.jpg,4,1,Sociedad,1
1931,4,25 Dic 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,CE Europa,CE Europa.jpg,3,1,Real Madrid,1
1931,4,28 Dic 30,San Mamés,Athletic,Athletic.jpg,Alavés,Alavés.jpg,7,1,Athletic,1
1931,4,28 Dic 30,Camp Nou,Barcelona,Barcelona.jpg,Racing,Racing.jpg,1,1,Draw,0
1931,4,28 Dic 30,RCDE Stadium,Espanyol,Espanyol.jpg,Arenas,Arenas.jpg,5,0,Espanyol,1
1931,4,28 Dic 30,Stadium Gal,Real Unión,Real Unión.jpg,Sociedad,Sociedad.jpg,2,4,Sociedad,2
1931,5,04 Ene 31,Municipal de Gobela,Arenas,Arenas.jpg,Barcelona,Barcelona.jpg,5,0,Arenas,1
1931,5,04 Ene 31,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Athletic,Athletic.jpg,2,1,CE Europa,1
1931,5,04 Ene 31,Campos de Sport de El Sardinero,Racing,Racing.jpg,Sociedad,Sociedad.jpg,2,5,Sociedad,2
1931,5,04 Ene 31,Stadium Gal,Real Unión,Real Unión.jpg,Espanyol,Espanyol.jpg,6,1,Real Unión,1
