year,jornada,date,stadium,teamA,teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1935,15,10 Mar 35,Ramón Sánchez Pizjuán,Sevilla,Athletic,3,0,Sevilla,1
1935,15,10 Mar 35,Mestalla,Valencia,Real Betis,3,1,Valencia,1
1935,16,17 Mar 35,San Mamés,Athletic,Racing,4,2,Athletic,1
1935,16,17 Mar 35,Wanda Metropolitano,Atlético,Arenas,3,1,Atlético,1
1935,16,17 Mar 35,RCDE Stadium,Espanyol,Real Madrid,2,4,Real Madrid,2
1935,16,17 Mar 35,Anoeta,Sociedad,Real Betis,2,4,Real Betis,2
1935,16,17 Mar 35,Carlos Tartiere,Real Oviedo,Barcelona,4,3,Real Oviedo,1
1935,16,17 Mar 35,Ramón Sánchez Pizjuán,Sevilla,Valencia,4,2,Sevilla,1
1935,17,24 Mar 35,Municipal de Gobela,Arenas,Real Oviedo,1,2,Real Oviedo,2
1935,17,24 Mar 35,Camp Nou,Barcelona,Espanyol,2,2,Draw,0
1935,17,24 Mar 35,Benito Villamarín,Real Betis,Atlético,2,0,Real Betis,1
1935,17,24 Mar 35,Campos de Sport de El Sardinero,Racing,Sevilla,3,2,Racing,1
1935,17,24 Mar 35,Santiago Bernabéu,Real Madrid,Athletic,5,2,Real Madrid,1
1935,17,24 Mar 35,Mestalla,Valencia,Sociedad,7,1,Valencia,1
1935,18,31 Mar 35,San Mamés,Athletic,Barcelona,3,5,Barcelona,2
1935,18,31 Mar 35,Wanda Metropolitano,Atlético,Sociedad,3,1,Atlético,1
1935,18,31 Mar 35,RCDE Stadium,Espanyol,Arenas,2,0,Espanyol,1
1935,18,31 Mar 35,Campos de Sport de El Sardinero,Racing,Valencia,5,0,Racing,1
1935,18,31 Mar 35,Carlos Tartiere,Real Oviedo,Real Betis,0,1,Real Betis,2
1935,18,31 Mar 35,Ramón Sánchez Pizjuán,Sevilla,Real Madrid,1,3,Real Madrid,2
1935,19,07 Abr 35,Municipal de Gobela,Arenas,Athletic,0,1,Athletic,2
1935,19,07 Abr 35,Camp Nou,Barcelona,Sevilla,2,3,Sevilla,2
1935,19,07 Abr 35,Benito Villamarín,Real Betis,Espanyol,5,0,Real Betis,1
1935,19,07 Abr 35,Anoeta,Sociedad,Real Oviedo,3,5,Real Oviedo,2
1935,19,07 Abr 35,Santiago Bernabéu,Real Madrid,Racing,3,2,Real Madrid,1
1935,19,07 Abr 35,Mestalla,Valencia,Atlético,2,0,Valencia,1
